link,product_name,brand_name,price,img_url
https://www.glasses.com/gl-us/ray-ban/805289602057,b'RB3025 Aviator Classic',Ray-Ban,163.0,https://assets.glasses.com/is/image/Glasses/805289602057__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/vogue-eyewear/8056597338943,b'VO5356',Vogue Eyewear,115.0,https://assets.glasses.com/is/image/Glasses/8056597338943__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/tory-burch/725125996235,b'TY2084',Tory Burch,205.0,https://assets.glasses.com/is/image/Glasses/725125996235__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/oakley/888392561725,b'OX8032 Hex Jector',Oakley,164.0,https://assets.glasses.com/is/image/Glasses/888392561725__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/8056597642637,b'RB3625 New Aviator',Ray-Ban,163.0,https://assets.glasses.com/is/image/Glasses/8056597642637__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/collection-glasses/8056597235907,b'GK1001',GLASSES.COM,55.0,https://assets.glasses.com/is/image/Glasses/8056597235907__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/collection-glasses/8056597235860,b'GK2002',GLASSES.COM,55.0,https://assets.glasses.com/is/image/Glasses/8056597235860__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/michael-kors/725125366595,b'MK4080U Auckland',Michael Kors,144.0,https://assets.glasses.com/is/image/Glasses/725125366595__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/michael-kors/725125942157,b'MK5007 Hvar',Michael Kors,159.0,https://assets.glasses.com/is/image/Glasses/725125942157__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/oakley/700285038810,b'OO9008 Flak Jacket\xc2\xae',Oakley,179.0,https://assets.glasses.com/is/image/Glasses/700285038810__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/805289134886,b'RA4004',Ralph by Ralph Lauren,95.0,https://assets.glasses.com/is/image/Glasses/805289134886__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/8053672503371,b'RB7066 Optics',Ray-Ban,154.0,https://assets.glasses.com/is/image/Glasses/8053672503371__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/805289151418,b'RB5121 Original Wayfarer Optics',Ray-Ban,191.0,https://assets.glasses.com/is/image/Glasses/805289151418__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/8053672358612,b'RB2180',Ray-Ban,151.0,https://assets.glasses.com/is/image/Glasses/8053672358612__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/713132442968,b'RB5279 Optics',Ray-Ban,156.0,https://assets.glasses.com/is/image/Glasses/713132442968__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/805289742470,b'RB4171 Erika Classic',Ray-Ban,155.0,https://assets.glasses.com/is/image/Glasses/805289742470__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/713132581124,b'RB4187 Chris',Ray-Ban,155.0,https://assets.glasses.com/is/image/Glasses/713132581124__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/8053672875485,b'RB6375 Optics',Ray-Ban,166.0,https://assets.glasses.com/is/image/Glasses/8053672875485__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/805289126577,b'RB2140 Original Wayfarer Classic',Ray-Ban,163.0,https://assets.glasses.com/is/image/Glasses/805289126577__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ray-ban/8053672833263,b'RB6392 Ja-Jo Optics',Ray-Ban,166.0,https://assets.glasses.com/is/image/Glasses/8053672833263__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/gucci/889652047676,b'GG0011O',Gucci,435.0,https://assets.glasses.com/is/image/Glasses/889652047676__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/versace/8056597683272,b'VE3320U',Versace,310.0,https://assets.glasses.com/is/image/Glasses/8056597683272__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/burberry/8056597705547,b'BE2368 Archie',Burberry,293.0,https://assets.glasses.com/is/image/Glasses/8056597705547__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/collection-glasses/8056597435451,b'GK1001',GLASSES.COM,55.0,https://assets.glasses.com/is/image/Glasses/8056597435451__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/emporio-armani/8053672468113,b'EA1041',Emporio Armani,189.0,https://assets.glasses.com/is/image/Glasses/8053672468113__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/costa-del-mar/8056597584548,b'6A3015 Bimini Road 310',Costa,202.0,https://assets.glasses.com/is/image/Glasses/8056597584548__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/ralph-lauren/8056597619844,b'RL6223B',Ralph Lauren,238.0,https://assets.glasses.com/is/image/Glasses/8056597619844__001.png?impolicy=GL_g-thumbnail-plp
